,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X0,X4s,X6s
1,V Kohli,2008-2019,177,169,26,5412,113,37.84,4112,131.61,5,36,6,480,190
2,SK Raina,2008-2019,193,189,28,5368,100,33.34,3915,137.11,1,38,8,493,194
3,RG Sharma,2008-2019,188,183,28,4898,109,31.6,3744,130.82,1,36,12,431,194
4,DA Warner,2009-2019,126,126,17,4706,126,43.17,3305,142.39,4,44,7,458,181
5,S Dhawan,2008-2019,159,158,21,4579,95,33.42,3669,124.8,0,37,6,524,96
6,CH Gayle,2009-2019,125,124,15,4484,134,41.13,2969,151.02,6,28,7,368,326
7,MS Dhoni,2008-2019,190,170,65,4432,134,42.2,3215,137.85,0,23,3,297,209
8,RV Uthappa,2008-2019,177,170,17,4411,134,28.83,3380,130.5,0,24,7,435,156
9,AB de Villiers,2008-2019,154,142,32,4395,133,39.95,2906,151.23,3,33,8,357,212
10,G Gambhir,2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59
11,AM Rahane,2008-2019,140,132,16,3820,102,32.93,3133,121.92,2,27,11,404,74
12,KD Karthik,2008-2019,182,163,28,3654,142,27.06,2815,129.8,0,18,8,357,101
13,SR Watson,2008-2019,134,130,15,3575,155,31.08,2562,139.53,4,19,7,343,177
14,AT Rayudu,2010-2019,147,140,25,3300,143,28.69,2620,125.95,1,18,12,278,120
15,YK Pathan,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
16,BB McCullum,2008-2018,109,109,5,2880,153,27.69,2186,131.74,2,13,6,293,130
17,PA Patel,2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49
18,MK Pandey,2008-2019,130,120,23,2843,109,29.3,2353,120.82,1,15,12,253,75
19,KA Pollard,2010-2019,148,135,39,2755,83,28.69,1877,146.77,0,14,3,181,176
20,Yuvraj Singh,2008-2019,132,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149
21,V Sehwag,2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
22,M Vijay,2009-2019,103,103,5,2587,127,26.39,2106,122.83,2,13,5,243,91
23,SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
24,JH Kallis,2008-2014,98,96,11,2427,98,28.55,2222,109.22,0,17,9,255,44
25,DR Smith,2008-2017,91,89,5,2385,57,28.39,1764,135.2,0,17,8,245,117
26,SR Tendulkar,2008-2013,78,78,11,2334,109,34.83,1948,119.81,1,13,4,295,29
27,SV Samson,2013-2019,93,89,9,2209,104,27.61,1696,130.24,2,10,6,170,89
28,R Dravid,2008-2013,89,82,5,2174,105,28.23,1882,115.51,0,11,3,268,28
29,AC Gilchrist,2008-2013,80,80,4,2069,100,27.22,1495,138.39,2,11,7,239,92
30,JP Duminy,2009-2018,83,77,26,2029,156,39.78,1636,124.02,0,14,1,126,79
31,SPD Smith,2012-2019,81,72,18,2022,101,37.44,1568,128.95,1,8,1,180,49
32,MEK Hussey,2008-2015,59,58,7,1977,100,38.76,1612,122.64,1,15,1,198,52
33,KL Rahul,2013-2019,67,58,11,1977,145,42.06,1431,138.15,1,16,1,176,81
34,RA Jadeja,2008-2019,170,128,48,1927,48,24.08,1571,122.66,0,0,6,135,65
35,F du Plessis,2012-2019,71,64,5,1853,96,31.4,1462,126.74,0,12,2,163,59
36,DA Miller,2012-2019,79,77,23,1850,111,34.25,1333,138.78,1,9,1,126,87
37,DPMD Jayawardene,2008-2013,80,78,15,1802,122,28.6,1462,123.25,1,10,2,200,39
38,WP Saha,2008-2019,120,95,21,1765,133,23.85,1346,131.12,1,6,3,160,59
39,AJ Finch,2010-2018,75,73,7,1737,133,26.31,1329,130.69,0,13,8,176,67
40,RR Pant,2016-2019,54,54,6,1736,166,36.16,1067,162.69,1,11,4,152,94
41,MK Tiwary,2008-2018,98,85,26,1695,177,28.72,1449,116.97,0,7,8,156,40
42,KC Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27
43,SS Iyer,2015-2019,62,62,7,1681,96,30.56,1324,126.96,0,13,5,149,67
44,NV Ojha,2009-2018,113,94,19,1554,98,20.72,1313,118.35,0,6,8,121,79
45,SA Yadav,2012-2019,85,71,16,1544,72,28.07,1173,131.62,0,7,3,160,47
46,Mandeep Singh,2010-2019,97,84,15,1529,96,22.15,1226,124.71,0,5,10,160,33
47,DJ Bravo,2008-2019,134,102,38,1483,98,23.17,1156,128.28,0,5,3,117,61
48,KK Nair,2013-2019,69,63,4,1464,94,24.81,1139,128.53,0,10,2,158,39
49,Q de Kock,2013-2019,50,50,2,1456,108,30.33,1109,131.28,1,10,2,155,54
50,S Badrinath,2008-2013,95,67,20,1441,96,30.65,1212,118.89,0,11,6,154,28
