"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","X4","X5"
"1","SL Malinga","2009-2019",122,122,471.1,8,3366,170,"5/13",19.8,7.14,16.6,6,1
"2","A Mishra","2008-2019",147,147,516.5,6,3795,157,"5/17",24.17,7.34,19.7,3,1
"3","Harbhajan Singh","2008-2019",160,157,562.2,6,3967,150,"5/18",26.44,7.05,22.4,1,1
"4","PP Chawla","2008-2019",157,156,520.4,2,4072,150,"4/17",27.14,7.82,20.8,2,0
"5","DJ Bravo","2008-2019",134,131,430.5,2,3618,147,"4/22",24.61,8.39,17.5,2,0
"6","B Kumar","2011-2019",117,117,435.2,8,3154,133,"5/19",23.71,7.24,19.6,2,1
"7","R Ashwin","2009-2019",139,136,487.2,4,3309,125,"4/34",26.47,6.79,23.3,1,0
"8","SP Narine","2012-2019",110,109,426.1,3,2845,122,"5/19",23.31,6.67,20.9,6,1
"9","UT Yadav","2010-2019",119,118,413.2,3,3496,119,"4/24",29.37,8.45,20.8,2,0
"10","RA Jadeja","2008-2019",170,142,415.5,1,3152,108,"5/16",29.18,7.57,23.1,3,1
"11","A Nehra","2008-2017",88,88,318,2,2495,106,"4/10",23.53,7.84,18,1,0
"12","R Vinay Kumar","2008-2018",105,104,353.3,1,2966,105,"4/40",28.24,8.39,20.2,1,0
"13","Z Khan","2008-2017",100,99,366.4,5,2782,102,"4/17",27.27,7.58,21.5,1,0
"14","YS Chahal","2013-2019",84,83,297.5,3,2318,100,"4/25",23.18,7.78,17.8,2,0
"15","DW Steyn","2008-2019",92,92,351,7,2375,96,"3/8",24.73,6.76,21.9,0,0
"16","Sandeep Sharma","2013-2019",79,79,290.5,8,2272,95,"4/20",23.91,7.81,18.3,2,0
"17","SR Watson","2008-2019",134,105,338.1,3,2682,92,"4/29",29.15,7.93,22,1,0
"18","MM Sharma","2013-2019",85,85,288.2,0,2425,91,"4/14",26.64,8.41,19,1,0
"19","RP Singh","2008-2016",82,82,295.5,2,2338,90,"4/22",25.97,7.9,19.7,2,0
"20","P Kumar","2008-2017",119,119,420.4,14,3251,90,"3/18",36.12,7.72,28,0,0
"21","PP Ojha","2008-2015",92,90,316.3,1,2332,89,"3/11",26.2,7.36,21.3,0,0
"22","DS Kulkarni","2008-2019",90,90,290.5,8,2404,86,"4/14",27.95,8.26,20.2,1,0
"23","JA Morkel","2008-2016",91,87,287.1,3,2359,85,"4/32",27.75,8.21,20.2,1,0
"24","JJ Bumrah","2013-2019",77,77,288.4,4,2182,82,"3/7",26.6,7.55,21.1,0,0
"25","IK Pathan","2008-2017",103,101,340.3,10,2649,80,"3/24",33.11,7.77,25.5,0,0
"26","Imran Tahir","2014-2019",55,55,204.2,1,1611,79,"4/12",20.39,7.88,15.5,3,0
"27","M Morkel","2009-2016",70,70,271.3,3,2089,77,"4/20",27.12,7.69,21.1,1,0
"28","JD Unadkat","2010-2019",73,72,251,3,2192,77,"5/25",28.46,8.73,19.5,0,2
"29","L Balaji","2008-2014",73,73,252.1,2,2028,76,"5/24",26.68,8.04,19.9,3,1
"30","MM Patel","2008-2017",63,63,225.5,5,1698,74,"5/21",22.94,7.51,18.3,2,1
"31","MJ McClenaghan","2015-2019",56,56,212.2,1,1803,71,"4/21",25.39,8.49,17.9,1,0
"32","R Bhatia","2008-2017",95,91,272.4,1,2020,71,"4/15",28.45,7.4,23,1,0
"33","AR Patel","2014-2019",82,81,285.3,2,2129,71,"4/21",29.98,7.45,24.1,1,0
"34","I Sharma","2008-2019",89,89,317.5,4,2578,71,"5/12",36.3,8.11,26.8,0,1
"35","CH Morris","2013-2019",61,61,214,0,1709,69,"4/23",24.76,7.98,18.6,2,0
"36","AB Dinda","2008-2017",78,75,252.4,3,2073,69,"4/18",30.04,8.2,21.9,1,0
"37","SK Trivedi","2008-2013",76,75,251,2,1904,65,"4/25",29.29,7.58,23.1,1,0
"38","JH Kallis","2008-2014",98,89,290.2,3,2293,65,"3/13",35.27,7.89,26.8,0,0
"39","M Muralitharan","2008-2014",66,66,254,1,1696,63,"3/11",26.92,6.67,24.1,0,0
"40","MG Johnson","2013-2018",54,54,205.2,2,1702,61,"3/26",27.9,8.28,20.1,0,0
"41","Shakib Al Hasan","2011-2019",63,62,221.2,1,1652,59,"3/17",28,7.46,22.5,0,0
"42","JP Faulkner","2011-2017",60,60,204.3,4,1778,59,"5/16",30.13,8.69,20.7,0,2
"43","SK Warne","2008-2011",55,54,199,1,1447,57,"4/21",25.38,7.27,20.9,1,0
"44","KA Pollard","2010-2019",148,81,199.5,0,1770,56,"4/44",31.6,8.85,21.4,1,0
"45","Rashid Khan","2017-2019",46,46,182,3,1193,55,"3/19",21.69,6.55,19.8,0,0
"46","AD Russell","2012-2019",64,61,173.1,0,1538,55,"4/20",27.96,8.88,18.8,1,0
"47","KV Sharma","2009-2019",63,61,184.4,1,1445,54,"4/16",26.75,7.82,20.5,2,0
"48","S Kaul","2013-2019",45,45,163.3,2,1385,49,"4/29",28.26,8.47,20,1,0
"49","SB Jakati","2009-2017",59,57,180.5,1,1451,47,"4/22",30.87,8.02,23,2,0
